ID,Mass,RT,22-72b1-silique-NL-0V,22-72b1-silique-NL-10V,22-72b1-silique-NL-15V,22-72b1-silique-NL-20V,22-72b1-silique-NL-25V,22-72b1-silique-NL-30V,22-72b1-silique-NL-35V,22-72b1-silique-NL-40V,22-72b1-silique-NL-45V,22-72b1-silique-NL-0V
44,950.6777,5.75,873137.4613,876966.4572,830897.8718,729553.5625,476774.0313,194316.4063,46951.09393,12841.27336,5913.359522,873137.4613
45,646.1297,3.43,701352.9678,56591.0254,10606.41226,1,7559.545903,1,1,1,1,701352.9678
46,340.2401,15.32,589556.0508,568864.1477,499772.5682,345556.9572,143957.7251,32030.40195,8746.977383,5444.736328,3927.311497,589556.0508
47,477.116,6.41,848305.4023,916944.7861,849730.3749,622704.0104,355031.6497,246064.6115,240904.7332,243900.9357,234722.4043,848305.4023
48,330.0949,2.12,775778.0948,446731.3141,307809.7821,178988.9664,96461.09962,37414.51446,17189.28376,9572.871011,6655.275094,775778.0948
49,827.5641,5.53,772653.6357,743363.1538,752594.0427,733215.3225,716489.7634,687909.9587,516102.5471,261783.1873,100615.4274,772653.6357
50,578.1421,3.48,712785.1655,744835.4247,686471.81,651960.5204,585403.5137,512967.68,421341.5973,349387.9628,290882.3785,712785.1655
51,168.0423,2.12,159024.5478,605398.6489,694587.3603,743675.4249,689408.1051,598227.8599,511839.448,456328.2802,379354.6418,159024.5478
52,611.4248,4.88,668903.1743,567394.0629,284034.407,69257.52784,7753.522895,1,1,1,1,668903.1743
53,192.027,1.25,585002.5457,103664.9957,57736.48485,61990.86629,70208.12729,47164.10224,35695.00355,35501.65339,38044.31827,585002.5457
54,478.0713,3.75,537127.5572,592837.4985,557413.7074,399509.9476,262727.3709,249460.3833,243594.4453,256974.2687,243182.1608,537127.5572
55,134.0217,1.2,625805.8553,262154.3558,215260.6476,148516.9013,132274.1901,151440.2411,128952.0103,112460.773,97738.17706,625805.8553
56,434.2429,13.63,885129.8435,772331.1892,429715.0913,309268.5197,364059.5351,415839.8762,428418.1231,375042.119,321092.8132,885129.8435
57,630.1347,4.35,517648.3822,28497.42079,31759.68238,19554.32403,8858.752737,17449.78418,13644.13292,14607.90476,6332.605455,517648.3822
58,447.0924,3.08,125780.1461,125085.2216,1,53195.87837,132761.7401,237624.2091,436274.9532,661742.4701,733177.507,125780.1461
59,614.1393,4.73,470046.9951,70826.65503,42832.80277,40595.55746,37422.51615,38867.31071,42144.82526,36833.83707,38202.25437,470046.9951
60,272.2349,15.19,669579.8257,662354.1989,526255.9183,311189.9309,182498.4863,151188.8545,130115.271,123120.1203,122908.6632,669579.8257
61,601.3965,4.88,569059.8242,567375.0429,553785.75,428789.4218,206146.261,51817.91016,17128.32813,13331.91797,14456.41406,569059.8242
62,278.2247,13.05,228802.7125,1491381.017,3238984.993,3533489.756,3409691.076,3081415.07,2481188.228,1889496.387,1639363.351,228802.7125
63,392.1597,7.45,377650.418,267625.1687,118222.1802,82041.19322,66165.31572,64917.21005,47414.7109,40654.09738,29885.97761,377650.418
64,463.1003,5.47,564870.0893,618221.5341,580850.2397,410795.8596,255599.8763,199815.5116,214273.2965,209761.1687,206797.5672,564870.0893
65,134.0217,1.04,522003.9375,262154.3558,133377.8119,148516.9013,102321.3045,152872.3649,128952.0103,112460.773,15470.27547,522003.9375
66,594.1581,3.8,562287.4547,782942.485,853190.0701,735834.3156,521101.9065,425934.5537,288133.2266,304568.3494,268829.9646,562287.4547
67,421.054,2.68,2587396.006,2724861.825,1039331.389,1210668.508,692967.2762,618990.228,601151.4252,576193.3188,518839.5832,2587396.006
68,295.142,3.68,229540.6909,453066.8553,390638.1534,310201.317,267841.4654,254836.4301,266205.8405,265387.9855,272402.4314,229540.6909
69,386.1214,3.66,571958.4924,366590.0247,272360.2445,293054.9135,297224.4923,293841.0573,272888.4863,245580.3144,229922.8783,571958.4924
70,464.0554,2.08,526461.1596,494688.6136,320803.2605,159443.8956,117949.3498,113813.4132,121044.0889,106911.5267,89637.11558,526461.1596
71,478.2329,10.51,357663.781,146587.3812,61608.23759,56956.09482,58687.20304,56981.98536,45858.42033,35723.4055,22029.60976,357663.781
72,940.648,5.75,502669.1563,503167.5329,505899.9429,499910.6535,498937.5509,483250.0074,451836.2188,368108.3371,245414.75,502669.1563
73,578.1414,4.69,864444.9084,643897.5183,469978.3883,540199.3497,300067.4876,226314.0667,180466.9667,177641.4689,178304.3997,864444.9084
74,446.2433,13.38,2012460.709,1291009.927,45878.6604,25231.85587,256380.8372,31820.21133,33700.89113,28571.07714,24811.65525,2012460.709
75,422.2432,15.22,1318237.754,689688.283,43922.04434,295808.0137,159780.9531,335340.5449,319392.7809,275143.9774,219120.7405,1318237.754
76,310.0685,5.05,281315.136,146618.0218,97546.73112,52447.77902,27856.96094,13995.18341,9387.247392,6906.895322,5690.997037,281315.136
77,316.0578,4.7,1,4625.003002,3104.635844,30890.85972,118015.2497,234353.5857,356962.9809,390593.143,368186.2569,1
78,353.1109,4.09,767783.1561,621924.6464,397310.1759,323446.7723,294509.6038,257440.0153,222820.777,170975.9678,136454.65,767783.1561
79,429.1123,3.09,11691.32102,30749.38107,200602.8751,555411.214,588199.0511,289449.663,102815.5047,41658.3685,42485.31877,11691.32102
80,355.1628,3.68,197420.8873,68864.77857,65504.91096,42218.35767,29738.92889,21959.54688,14346.16699,11901.93262,7823.834473,197420.8873
81,448.2225,9.9,300419.0444,289738.2298,195408.8708,91189.36505,59830.10876,56858.62985,51793.64195,53532.71579,39045.11404,300419.0444
82,438.0821,0.94,346528.8824,360136.3312,282714.6081,147628.8544,53321.72868,17360.10785,5837.92334,5353.352051,10332.13979,346528.8824
83,447.0924,3.94,1,1,1,162044.0252,457678.3463,881834.8262,1018564.537,852544.5189,586130.7572,1
