ID,Mass,RT,2-cad4572b1-Sili-1,2-cad4572b1-Sili-2,2-cad4572b1-Sili-3,2-cad4572b1-Sili-4,2-cad4572b1-Sili-6,2-Col-Sili-1,2-Col-Sili-2,2-Col-Sili-3,2-Col-Sili-4,2-Col-Sili-5
5175,372.1779,6.08,15263.71497,11002.45896,15395.30952,15909.59195,16979.22546,2378.355713,1459.53374,1999.959327,2451.20166,2497.956055
5176,762.2209,4.24,29733.45296,20039.14661,33417.39552,28126.68366,32249.19766,4741.212357,4943.0092,5313.423683,5078.388597,5103.118982
5177,548.2354,11.12,14201.66274,18134.91712,8568.380709,6480.855397,6981.17356,1098.063477,2312.044922,4301.108887,2409.177021,3349.7638
5178,462.0913,9.96,1588.09977,2382.333677,3950.484429,1643.11084,2710.95367,8686.432617,30359.66797,49007.51172,20089.64648,46090.94141
5179,320.1038,2.85,22735.1957,21836.80405,1,21521.7161,20955.41257,5456.035687,5157.711407,6997.155114,5502.06106,5723.679549
5180,956.4949,11.88,30782.5974,36346.52372,40357.16514,56300.64294,54819.11586,13703.57535,6799.194698,16877.45695,7398.914963,17668.94997
5181,563.2574,7.9,53488.89454,51496.63476,45514.31128,65663.52242,44403.30884,1,1,10176.54506,1,4629.899612
5182,356.1102,4.7,62483.70415,67685.58698,65672.36694,66732.18782,69878.98086,8105.160018,9066.435035,7984.863738,5604.482357,6238.512314
5183,414.2249,6.6,19797.73889,21965.83693,18752.38138,21922.30374,22951.74176,5553.591395,6343.351522,4692.397285,4716.006262,6808.574088
5184,574.1101,5.66,4735.984162,3936.600078,4683.032174,3786.56215,4709.809302,18786.53597,21558.0196,19419.18472,22211.78588,23063.87187
5185,760.3792,11.62,28360.32562,15004.18147,23181.81956,21545.8237,34708.67685,9114.658756,14061.47413,19692.36554,8319.286339,12452.61898
5186,592.2676,15.96,27619.97461,25254.21094,21451.07422,15094.05859,7962.831121,5484.502584,8365.558594,3430.411621,5302.146484,5819.206543
5187,514.3128,12.43,19000.20712,17172.96673,26577.62781,19418.43591,20887.89071,6592.059568,6173.184082,7113.248608,7144.773124,7948.812217
